C:\Users\Mary\PycharmProjects\DeepLearning\venv\Scripts\python.exe C:/Users/Mary/PycharmProjects/DeepLearning/lab2_pmv.py
Mariya config
[21:43:27] c:\jenkins\workspace\mxnet-tag\mxnet\src\io\iter_image_recordio_2.cc:170: ImageRecordIOParser2: data.rec, use 3 threads for decoding..
[21:43:28] c:\jenkins\workspace\mxnet-tag\mxnet\src\io\iter_image_recordio_2.cc:170: ImageRecordIOParser2: test_data.rec, use 3 threads for decoding..
data - ok
layers - ok
INFO:root:Epoch[0] Batch [100]	Speed: 706.82 samples/sec	accuracy=0.500000
INFO:root:Epoch[0] Batch [200]	Speed: 722.91 samples/sec	accuracy=0.473750
INFO:root:Epoch[0] Batch [300]	Speed: 703.24 samples/sec	accuracy=0.516250
INFO:root:Epoch[0] Batch [400]	Speed: 718.50 samples/sec	accuracy=0.468750
INFO:root:Epoch[0] Batch [500]	Speed: 706.41 samples/sec	accuracy=0.486250
INFO:root:Epoch[0] Batch [600]	Speed: 703.73 samples/sec	accuracy=0.517500
INFO:root:Epoch[0] Batch [700]	Speed: 718.50 samples/sec	accuracy=0.498750
INFO:root:Epoch[0] Batch [800]	Speed: 703.30 samples/sec	accuracy=0.498750
INFO:root:Epoch[0] Batch [900]	Speed: 707.58 samples/sec	accuracy=0.492500
INFO:root:Epoch[0] Batch [1000]	Speed: 714.19 samples/sec	accuracy=0.503750
INFO:root:Epoch[0] Batch [1100]	Speed: 702.99 samples/sec	accuracy=0.502500
INFO:root:Epoch[0] Batch [1200]	Speed: 705.97 samples/sec	accuracy=0.520000
INFO:root:Epoch[0] Batch [1300]	Speed: 702.39 samples/sec	accuracy=0.511250
INFO:root:Epoch[0] Batch [1400]	Speed: 683.85 samples/sec	accuracy=0.505000
INFO:root:Epoch[0] Batch [1500]	Speed: 707.56 samples/sec	accuracy=0.502500
INFO:root:Epoch[0] Batch [1600]	Speed: 720.97 samples/sec	accuracy=0.515000
INFO:root:Epoch[0] Batch [1700]	Speed: 704.82 samples/sec	accuracy=0.522500
INFO:root:Epoch[0] Batch [1800]	Speed: 713.99 samples/sec	accuracy=0.548750
INFO:root:Epoch[0] Batch [1900]	Speed: 701.47 samples/sec	accuracy=0.551250
INFO:root:Epoch[0] Batch [2000]	Speed: 701.10 samples/sec	accuracy=0.517500
INFO:root:Epoch[0] Batch [2100]	Speed: 699.52 samples/sec	accuracy=0.541250
INFO:root:Epoch[0] Batch [2200]	Speed: 694.75 samples/sec	accuracy=0.542500
INFO:root:Epoch[0] Batch [2300]	Speed: 685.59 samples/sec	accuracy=0.547500
INFO:root:Epoch[0] Batch [2400]	Speed: 699.09 samples/sec	accuracy=0.572500
INFO:root:Epoch[0] Batch [2500]	Speed: 682.38 samples/sec	accuracy=0.551250
INFO:root:Epoch[0] Batch [2600]	Speed: 689.71 samples/sec	accuracy=0.545000
INFO:root:Epoch[0] Batch [2700]	Speed: 687.35 samples/sec	accuracy=0.565000
INFO:root:Epoch[0] Batch [2800]	Speed: 698.12 samples/sec	accuracy=0.575000
INFO:root:Epoch[0] Batch [2900]	Speed: 699.34 samples/sec	accuracy=0.581250
INFO:root:Epoch[0] Batch [3000]	Speed: 709.68 samples/sec	accuracy=0.552500
INFO:root:Epoch[0] Batch [3100]	Speed: 696.37 samples/sec	accuracy=0.595000
INFO:root:Epoch[0] Batch [3200]	Speed: 701.88 samples/sec	accuracy=0.580000
INFO:root:Epoch[0] Batch [3300]	Speed: 689.99 samples/sec	accuracy=0.558750
INFO:root:Epoch[0] Batch [3400]	Speed: 699.70 samples/sec	accuracy=0.578750
INFO:root:Epoch[0] Batch [3500]	Speed: 706.39 samples/sec	accuracy=0.580000
INFO:root:Epoch[0] Batch [3600]	Speed: 704.73 samples/sec	accuracy=0.578750
INFO:root:Epoch[0] Batch [3700]	Speed: 711.71 samples/sec	accuracy=0.610000
INFO:root:Epoch[0] Batch [3800]	Speed: 709.39 samples/sec	accuracy=0.593750
