C:\Users\Mary\PycharmProjects\DeepLearning\venv\Scripts\python.exe C:/Users/Mary/PycharmProjects/DeepLearning/lab2.py
[21:45:20] c:\jenkins\workspace\mxnet-tag\mxnet\src\io\iter_image_recordio_2.cc:170: ImageRecordIOParser2: data.rec, use 3 threads for decoding..
Polina config
[21:45:21] c:\jenkins\workspace\mxnet-tag\mxnet\src\io\iter_image_recordio_2.cc:170: ImageRecordIOParser2: test_data.rec, use 3 threads for decoding..
data - ok
layers - ok
INFO:root:Epoch[0] Batch [100]	Speed: 197.48 samples/sec	accuracy=0.519802
INFO:root:Epoch[0] Batch [200]	Speed: 197.38 samples/sec	accuracy=0.498750
INFO:root:Epoch[0] Batch [300]	Speed: 198.11 samples/sec	accuracy=0.527500
INFO:root:Epoch[0] Batch [400]	Speed: 198.55 samples/sec	accuracy=0.538750
INFO:root:Epoch[0] Batch [500]	Speed: 195.83 samples/sec	accuracy=0.551250
INFO:root:Epoch[0] Batch [600]	Speed: 192.73 samples/sec	accuracy=0.567500
INFO:root:Epoch[0] Batch [700]	Speed: 198.20 samples/sec	accuracy=0.560000
INFO:root:Epoch[0] Batch [800]	Speed: 197.73 samples/sec	accuracy=0.566250
INFO:root:Epoch[0] Batch [900]	Speed: 198.50 samples/sec	accuracy=0.545000
INFO:root:Epoch[0] Batch [1000]	Speed: 197.73 samples/sec	accuracy=0.570000
INFO:root:Epoch[0] Batch [1100]	Speed: 197.73 samples/sec	accuracy=0.566250
INFO:root:Epoch[0] Batch [1200]	Speed: 197.73 samples/sec	accuracy=0.595000
INFO:root:Epoch[0] Batch [1300]	Speed: 198.50 samples/sec	accuracy=0.591250
INFO:root:Epoch[0] Batch [1400]	Speed: 197.73 samples/sec	accuracy=0.568750
INFO:root:Epoch[0] Batch [1500]	Speed: 197.73 samples/sec	accuracy=0.582500
INFO:root:Epoch[0] Batch [1600]	Speed: 198.50 samples/sec	accuracy=0.583750
INFO:root:Epoch[0] Batch [1700]	Speed: 198.50 samples/sec	accuracy=0.580000
INFO:root:Epoch[0] Batch [1800]	Speed: 197.73 samples/sec	accuracy=0.593750
INFO:root:Epoch[0] Batch [1900]	Speed: 198.50 samples/sec	accuracy=0.570000
INFO:root:Epoch[0] Batch [2000]	Speed: 197.73 samples/sec	accuracy=0.575000
INFO:root:Epoch[0] Batch [2100]	Speed: 198.50 samples/sec	accuracy=0.585000
INFO:root:Epoch[0] Batch [2200]	Speed: 198.50 samples/sec	accuracy=0.593750
INFO:root:Epoch[0] Batch [2300]	Speed: 197.73 samples/sec	accuracy=0.593750
INFO:root:Epoch[0] Batch [2400]	Speed: 198.50 samples/sec	accuracy=0.622500
INFO:root:Epoch[0] Batch [2500]	Speed: 197.73 samples/sec	accuracy=0.587500
INFO:root:Epoch[0] Batch [2600]	Speed: 198.50 samples/sec	accuracy=0.558750
INFO:root:Epoch[0] Batch [2700]	Speed: 198.50 samples/sec	accuracy=0.605000
INFO:root:Epoch[0] Batch [2800]	Speed: 198.50 samples/sec	accuracy=0.616250
INFO:root:Epoch[0] Batch [2900]	Speed: 198.50 samples/sec	accuracy=0.625000
INFO:root:Epoch[0] Batch [3000]	Speed: 197.73 samples/sec	accuracy=0.597500
INFO:root:Epoch[0] Batch [3100]	Speed: 198.50 samples/sec	accuracy=0.630000
INFO:root:Epoch[0] Batch [3200]	Speed: 197.73 samples/sec	accuracy=0.612500
